"ID","Categories","SubCategories","Title","MarketValuePrice","MSRPPrice","InternetPrice","SKUStock","Vin","ImageURL","ProductPageURL","Year","Make","Model","Trim","BodyType","DriveTrain","EngineSize","Transmission","InteriorColor","ExteriorColor","MPG","Mileage"
"KM8J33AL4LU119278-1eb2d6bb-17e3-4c9e-b27a-73e84fe50182","new","Tucson","2020 Hyundai Tucson Sport FWD SUV",29445,26945,26945,"H200142","KM8J33AL4LU119278","https://pictures.dealer.com/b/bensonhyundai/1653/1af7a44d041461439d5e307eec38b157x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-728dc7640a0e0a6b739734d3c2abbf55.htm",2020,"Hyundai","Tucson","Sport",,,,,"Black","Black Noir Pearl",,
"5NPE34AF2KH805012-2ba323c2-3cf8-4e54-898a-bf9b12c10eb4","new","Sonata","2019 Hyundai Sonata Limited 2.4L Sedan",31420,25660,25660,"H90497","5NPE34AF2KH805012","https://pictures.dealer.com/b/bensonhyundai/1497/a0a59f6d09e06b2368012a3aa22a8959x.jpg","https://www.bensonhyundai.com/new/Hyundai/2019-Hyundai-Sonata-spartanburg+sc-5afa929b0a0e0ae847bd028f212596da.htm",2019,"Hyundai","Sonata","Sport","Sedan",,2.4,,"Gray","Scarlet Red",,
"KMHD04LB6LU954069-04f2197b-9a43-4904-a57f-e0c0ce835de8","new","Elantra","2020 Hyundai Elantra Sport DCT Sedan",27120,25120,25120,"H200076","KMHD04LB6LU954069","https://pictures.dealer.com/b/bensonhyundai/1648/1108b9e49ae4251842b0fcc36fdbf5e8x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-8acbadbe0a0e0a173bcc1608b16a8bf2.htm",2020,"Hyundai","Elantra","Sport",,,,,"Black","Intense Blue",,
"KM8J33AL2LU120865-ba5b9764-c52f-4389-950b-81e79ea87c4c","new","Tucson","2020 Hyundai Tucson SEL FWD SUV",27315,24815,24815,"H200161","KM8J33AL2LU120865","https://pictures.dealer.com/b/bensonhyundai/0935/104ee32576e612f593ca924f6ca476dbx.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-96b8232e0a0e0ae760910216deb74622.htm",2020,"Hyundai","Tucson","Sport",,,,,"Beige","Dusk Blue",,
"KM8J33ALXLU111363-f167eca7-0ee1-4cb1-95bc-130d2f43b7dc","new","Tucson","2020 Hyundai Tucson SEL SUV",27300,24800,24800,"H200118","KM8J33ALXLU111363","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021E0/T2X.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-4e826f900a0e0a17657a17b330601414.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Stellar Silver",,
"KM8J33AL2LU123314-97f04455-949f-4c3d-a283-6da3da2fb78e","new","Tucson","2020 Hyundai Tucson SEL FWD SUV",27245,24745,24745,"H200153","KM8J33AL2LU123314","https://pictures.dealer.com/b/bensonhyundai/1074/b38e13965a44f104859452ec0ad16b0cx.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-872dc4140a0e0a1710faff8bc121615c.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Magnetic Force Metallic",,
"KM8J33AL3LU116727-4ce2d0f9-895c-4bfd-a850-8748cbf65f84","new","Tucson","2020 Hyundai Tucson SEL FWD SUV",27245,24745,24745,"H200137","KM8J33AL3LU116727","https://pictures.dealer.com/b/bensonhyundai/1660/1b4c7e8419970bdc0896459e9dac3aa5x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-728dc5980a0e0a6b739734d3758e3e24.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Winter White",,
"KM8J33AL3LU119286-ec110fab-fe38-41f7-adc4-bdd5a0cba284","new","Tucson","2020 Hyundai Tucson SEL FWD SUV",27245,24745,24745,"H200133","KM8J33AL3LU119286","https://pictures.dealer.com/b/bensonhyundai/0431/b41fff8f24b68deed6177cf8992ea5abx.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-6841c0ba0a0e0ae83a84e5ff07ffc434.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Black Noir Pearl",,
"KMHTH6AB6LU021310-68c7049e-4ad4-443e-ac98-7faf2169786f","new","Veloster","2020 Hyundai Veloster Turbo DCT Hatchback",26620,24620,24620,"H200038","KMHTH6AB6LU021310","https://pictures.dealer.com/b/bensonhyundai/0932/5796d3bfba57dc5a4f0213b80417c70ex.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Veloster-spartanburg+sc-9de8b1230a0e0ae94f85e1afb1311486.htm",2020,"Hyundai","Veloster","Ohio",,,,,"Black","Chalk White",,
"5NPD84LF8LH517815-fac05dfe-ba21-4699-86a7-84815d9fe61b","new","Elantra","2020 Hyundai Elantra Value Edition IVT Sedan",21890,20140,20140,"H200083","5NPD84LF8LH517815","https://pictures.dealer.com/b/bensonhyundai/0577/395bdd9921dc4bbc968cf7ed14aa5973x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-951468530a0e0aea4572ec9e7edce84e.htm",2020,"Hyundai","Elantra","SEL",,,,,"Gray","Machine Gray",,
"5NPD84LF6LH540378-fcebf74c-0da0-4d87-a206-010956d4985a","new","Elantra","2020 Hyundai Elantra Value Edition Sedan",21870,20120,20120,"H200170","5NPD84LF6LH540378","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Elantra/Sedan/trim_Value_Edition_b4ef0c/color/Stellar%20Silver-T2X-123%2C129%2C129-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-baa69a4b0a0e0ae76dee3a61b97e8b38.htm",2020,"Hyundai","Elantra","SEL",,,,,"Black","Silver",,
"5NPD84LF8LH527390-a9231e8e-de50-4ee0-a842-4a7db0983852","new","Elantra","2020 Hyundai Elantra Value Edition IVT Sedan",21860,20110,20110,"H200110","5NPD84LF8LH527390","https://pictures.dealer.com/b/bensonhyundai/0630/1dab106c210767070492690b687cfd80x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-fc1732880a0e0a177869224c7bf355bd.htm",2020,"Hyundai","Elantra","SEL",,,,,"Gray","Phantom Black",,
"5NPD84LF9LH530413-7f019cf1-bf68-49a1-a211-d472c6e74e36","new","Elantra","2020 Hyundai Elantra Value Edition IVT Sedan",21860,20110,20110,"H200124","5NPD84LF9LH530413","https://pictures.dealer.com/b/bensonhyundai/0607/55e39a94353e9902da14aa9d39dc0588x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-4e8270af0a0e0a17657a17b34c7cf11f.htm",2020,"Hyundai","Elantra","SEL",,,,,"Black","Machine Gray",,
"5NPD84LF0LH543583-7309a9da-317b-428c-b5ad-c656ac68a47b","new","Elantra","2020 Hyundai Elantra Value Edition Sedan",21860,20110,20110,"H200160","5NPD84LF0LH543583","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Elantra/Sedan/trim_Value_Edition_b4ef0c/color/Quartz%20White%20Pearl-W8-221%2C222%2C218-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-96b823110a0e0ae76091021664ecccb5.htm",2020,"Hyundai","Elantra","SEL",,,,,"Black","Quartz White Pearl",,
"5NPD84LF1LH536979-354284b1-9025-4abd-9df1-af791dcf6e66","new","Elantra","2020 Hyundai Elantra Value Edition IVT Sedan",21860,20110,20110,"H200147","5NPD84LF1LH536979","https://pictures.dealer.com/b/bensonhyundai/0645/0e609aca7a7487d7aa481f5b76243067x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-872dc2890a0e0a1710faff8b999d22b8.htm",2020,"Hyundai","Elantra","SEL",,,,,"Gray","Symphony Silver",,
"KMHD84LF5LU956102-35cdad29-f665-4ad0-9ca6-39ab8819ada7","new","Elantra","2020 Hyundai Elantra Value Edition Sedan",21780,20030,20030,"H200071","KMHD84LF5LU956102","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Elantra/Sedan/trim_Value_Edition_b4ef0c/color/Phantom%20Black-S3-18%2C17%2C20-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-76306b9c0a0e0aea3b6c48f5e8a1f44c.htm",2020,"Hyundai","Elantra","SEL",,,,,"Gray","Phantom Black",,
"5NPE24AFXKH817038-a73d4d86-5786-4011-8735-f18776540cc1","new","Sonata","2019 Hyundai Sonata SE 2.4L Sedan",23800,19078,19078,"H90551","5NPE24AFXKH817038","https://pictures.dealer.com/b/bensonhyundai/1147/b9195fd469ded6db8a48e100dcc95f3cx.jpg","https://www.bensonhyundai.com/new/Hyundai/2019-Hyundai-Sonata-spartanburg+sc-900eea670a0e0a173bcc1608ed351cd8.htm",2019,"Hyundai","Sonata","SE","Sedan",,2.4,,"Beige","Quartz White Pearl",,
"5NPE24AF1KH814352-13e2fe70-7999-47ac-95ff-614f6de3a9dc","new","Sonata","2019 Hyundai Sonata SE 2.4L Sedan",23795,19075,19075,"H90548","5NPE24AF1KH814352","https://pictures.dealer.com/b/bensonhyundai/1641/c1858319a496cd9b7f8b3344935e6631x.jpg","https://www.bensonhyundai.com/new/Hyundai/2019-Hyundai-Sonata-spartanburg+sc-7b56b3fb0a0e0ae9077e3d49a672fc78.htm",2019,"Hyundai","Sonata","SE","Sedan",,2.4,,"Beige","Quartz White Pearl",,
"5NPE24AF4KH813387-aafa5b5e-c199-4241-bce1-35a7bdf2d182","new","Sonata","2019 Hyundai Sonata SE 2.4L Sedan",23795,19075,19075,"H90541","5NPE24AF4KH813387","https://pictures.dealer.com/b/bensonhyundai/0898/2a89cddf2a81bc2df37c9bf27a4cc95ex.jpg","https://www.bensonhyundai.com/new/Hyundai/2019-Hyundai-Sonata-spartanburg+sc-5241c9200a0e0ae744ee1348c1eb225f.htm",2019,"Hyundai","Sonata","SE","Sedan",,2.4,,"Black","Quartz White Pearl",,
